filename,page,content,confidence
BoothVoterList_A4_Ward_212_Booth_12.pdf,3,"यादी भाग क्र. ७६  : ७ - म्यु.घ.नं.७१६ जे ते ७४४ GIR दगडी चाळ, बापुराव जगताप मार्ग," ,86
BoothVoterList_A4_Ward_212_Booth_12.pdf,4,"यादी भाग क्र. ७६  : ८ -म्यु.घ.नं.७१४जे ते ७४४ पंधारे दगडी चाळ, बापुराव जगताप मार्ग," ,93
BoothVoterList_A4_Ward_212_Booth_12.pdf,8,"यादी भाग क्र. ७६  : ६ -म्यु.घ.नं.७१४ ते ७४४, GAR दगडी चाळ, बापुराव जगताप मार्ग," ,91
BoothVoterList_A4_Ward_212_Booth_12.pdf,9,"यादी भाग क्र. १०४  : ८ -म्यु.घ.नं.६८४ ते ६९८ ई, फातमाबाई बिल्डींग, बापुराव जगताप मार्ग," ,93
BoothVoterList_A4_Ward_212_Booth_12.pdf,11,"यादी भाग क्र. १०४  : ९ - फातमाबाई चाळ जवळील झोपडपट्टी, बापुराव जगताप मार्ग, ," ,92
BoothVoterList_A4_Ward_212_Booth_12.pdf,15,"यादी भाग क्र. १०४  : १० -म्यु.घ.नं. ६८४, कोंडाची बिल्डींग, बापुराव जगताप मार्ग," ,91
BoothVoterList_A4_Ward_212_Booth_12.pdf,18,"यादी भाग क्र. १०४  : ११ -म्यु.घ.नं.६८८ ते ६९८, बेगम मोहम्मद चाळ, मराठा मदीर समोर, बापुराव" ,93
BoothVoterList_A4_Ward_212_Booth_12.pdf,24,"यादी भाग क्र. १०४  : १० -म्यु.घ.नं. ६८४, कोंडाची बिल्डींग, बापुराव जगताप मार्ग," ,91
BoothVoterList_A4_Ward_212_Booth_12.pdf,25,"यादी भाग क्र. १०४  : ११ -म्यु.घ.नं.६८८ ते ६९८, बेगम मोहम्मद चाळ, मराठा मदीर समोर, बापुराव" ,93
BoothVoterList_A4_Ward_212_Booth_12.pdf,26,"यादी भाग क्र. १०४  : ९ - फातमाबाई चाळ जवळील झोपडपट्टी, बापुराव जगताप मार्ग, ," ,92
BoothVoterList_A4_Ward_212_Booth_12.pdf,27,"यादी भाग क्र. १०४  : ११ -म्यु.घ.नं.६८८ ते ६९८, बेगम मोहम्मद चाळ, मराठा मदीर समोर, बापुराव" ,93
BoothVoterList_A4_Ward_212_Booth_12.pdf,28,"यादी भाग क्र. १०४  : १० -म्यु.घ.नं. ६८४, कोंडाची बिल्डींग, बापुराव जगताप मार्ग," ,91
BoothVoterList_A4_Ward_212_Booth_12.pdf,29,"यादी भाग क्र. १०४  : ११ -म्यु.घ.नं.६८८ ते ६९८, बेगम मोहम्मद चाळ, मराठा मदीर समोर, बापुराव" ,93
BoothVoterList_A4_Ward_212_Booth_12.pdf,30,"यादी भाग क्र. १०४  : १० -म्यु.घ.नं. ६८४, कोंडाची बिल्डींग, बापुराव जगताप मार्ग," ,91
BoothVoterList_A4_Ward_212_Booth_12.pdf,31,"यादी भाग क्र. १०४  : ९ - फातमाबाई चाळ जवळील झोपडपट्टी, बापुराव जगताप मार्ग," ,92
BoothVoterList_A4_Ward_212_Booth_12.pdf,32,"यादी भाग क्र. १०४  : ११ -म्यु.घ.नं.६८८ ते ६९८, बेगम मोहम्मद चाळ, मराठा मदीर समोर, बापुराव" ,93
BoothVoterList_A4_Ward_212_Booth_12.pdf,33,"यादी भाग क्र. १०४  : १० -म्यु.घ.नं. ६८४, कोंडाची बिल्डींग, बापुराव जगताप मार्ग," ,91
BoothVoterList_A4_Ward_212_Booth_12.pdf,34,"यादी भाग क्र. १०४  : ११ -म्यु.घ.नं.६८८ ते ६९८, बेगम मोहम्मद चाळ, मराठा मदीर समोर, बापुराव" ,93
BoothVoterList_A4_Ward_212_Booth_12.pdf,35,"यादी भाग क्र. १०४  : १० -म्यु.घ.नं. ६८४, कोंडाची बिल्डींग, बापुराव जगताप मार्ग," ,91
BoothVoterList_A4_Ward_212_Booth_12.pdf,36,"यादी भाग क्र. १४५  : १८ - लकी कंपाऊंड बिल्डिंग नं.८, वॉटर स्ट्रीट," ,93
BoothVoterList_A4_Ward_212_Booth_12.pdf,39,"यादी भाग क्र. १४५  : १९ - लकी कंपाऊंड बिल्डिंग नं.९, वॉटर स्ट्रीट," ,93
BoothVoterList_A4_Ward_212_Booth_12.pdf,43,"यादी भाग क्र. १४५  : २० -म्यु. VAT चाळ, वॉटर स्ट्रीट," ,91
BoothVoterList_A4_Ward_212_Booth_12.pdf,44,"यादी भाग क्र. १४५  : १८ - लकी कंपाऊंड बिल्डिंग नं.८, वॉटर स्ट्रीट," ,93
BoothVoterList_A4_Ward_212_Booth_12.pdf,45,"यादी भाग क्र. १४५  : २० -म्यु. VAT चाळ, वॉटर स्ट्रीट," ,91
BoothVoterList_A4_Ward_212_Booth_13.pdf,2,"यादी भाग क्र. २७  : ५ -म्यु.घ.नं.४५ राऊंड बिल्डींग, संत गाडगे महाराज चौक, आग्रीपाडा," ,91
BoothVoterList_A4_Ward_212_Booth_13.pdf,6,"यादी भाग क्र. ६७  : १ -म्यु.घ.नं.२०९, आकाश अपार्टमेंट, साने गुरुजी मार्ग," ,91
BoothVoterList_A4_Ward_212_Booth_13.pdf,20,"यादी भाग क्र. ६७  : 2 -म्यु.घ.नं.३६६, अलखदिजा अपार्टमेंट, साने गुरुजी मार्ग," ,90
BoothVoterList_A4_Ward_212_Booth_13.pdf,23,"यादी भाग क्र. ६७  : 3 - अलखदिजा अपार्टमेंट-बी, साने गुरुजी मार्ग," ,87
BoothVoterList_A4_Ward_212_Booth_13.pdf,25,"यादी भाग क्र. ६७  : 8 -म्यु.घ.नं.३८६, पत्राचाळ, साने गुरुजी मार्ग," ,89
BoothVoterList_A4_Ward_212_Booth_13.pdf,35,"यादी भाग क्र. ६७  : ५ -म्यु.घ.नं.३८६, पत्राचाळ जवळील झोपडपट्टी, (भिमज्योत नगर), साने गुरुजी" ,91
BoothVoterList_A4_Ward_212_Booth_13.pdf,36,"यादी भाग क्र. ६७  : ६ - ३८६, पत्राचाळ, रामसिंग गॅरेज, साने गुरुजी मार्ग," ,89
BoothVoterList_A4_Ward_212_Booth_13.pdf,37,"यादी भाग क्र. ६७  : ७ - ३८६, TAPAS AVA कंपाऊंड, (गंगाराम गॅरेज), साने गुरुजी मार्ग," ,89
BoothVoterList_A4_Ward_212_Booth_13.pdf,38,"यादी भाग क्र. G9  : ¢ - ३८६ बी, पत्राचाळ भरुचा कंपाऊंड, साने गुरुजी मार्ग," ,89
BoothVoterList_A4_Ward_212_Booth_13.pdf,39,"यादी भाग क्र. ६७  : ९ - हेंद्रे बिल्डींगच्या बाजुची झोपडी, मौलाना आझाद रोड," ,93
